Group,Fork,Richness,EPT,FBI,Filters,Predators,Shannon
1,North,5,0.48,4.84,0.80,0.00,1.29
2,North,6,0.48,4.88,0.68,0.00,1.48
3,North,7,0.44,5.20,0.68,0.00,1.53
4,North,6,0.11,5.42,0.31,0.00,1.57
5,North,5,0.40,5.28,0.56,0.12,1.49
6,North,8,0.36,5.56,0.56,0.04,1.76
7,North,6,0.48,5.00,0.68,0.08,1.46
8,North,6,0.40,5.64,0.56,0.08,1.59
9,North,7,0.38,5.42,0.58,0.00,1.67
10,North,7,0.42,4.00,0.23,0.39,1.83
11,North,9,0.40,4.92,0.44,0.12,1.96
12,North,6,0.36,5.76,0.60,0.04,1.56
1,North,7,0.40,5.24,0.56,0.08,1.77
2,North,7,0.36,5.48,0.52,0.12,1.71
3,North,8,0.32,4.68,0.48,0.20,1.92
4,North,7,0.52,5.04,0.64,0.00,1.50
5,North,9,0.28,5.24,0.24,0.12,2.01
6,North,7,0.16,5.20,0.72,0.12,2.23
7,North,6,0.32,5.68,0.68,0.00,1.63
8,North,8,0.30,5.39,0.57,0.00,1.84
9,North,7,0.44,4.92,0.56,0.12,1.69
10,North,6,0.36,5.56,0.60,0.08,1.62
11,North,5,0.52,5.12,0.76,0.12,1.07
1,North,7,0.40,4.56,0.64,0.12,1.64
2,North,8,0.28,5.8,0.52,0.12,2.14
3,North,9,0.28,5.28,0.52,0.12,1.93
4,North,6,0.4,5.24,0.76,0.12,1.699
5,North,7,0.48,5.11,0.59,0,1.58
6,North,8,0.4,4.16,0.16,0.04,1.803
7,North,7,0.44,5.12,0.64,0.04,1.61
8,North,7,0.41,5,0.66,0.04,1.59
9,North,7,0.48,3.92,0.64,0.08,1.56
10,North,5,0.48,4.92,0.52,0,1.35
11,North,7,0.53,5.07,0.643,0,1.45
12,North,10,0.32,4.96,0.44,0.16,2.077
1,North,8,0.103,5.17,0.48,0.103,1.76
2,North,7,0.32,4.6,0.64,0.04,1.65
3,North,6,0.24,5.16,0.6,0,1.6
4,North,7,0.24,5.64,0.6,0.04,1.68
5,North,5,0.8,5.12,0.76,0.04,1.29
6,North,7,0.2,4.68,0.16,0,1.782
7,North,7,0.4,5.44,0.52,0.12,1.7
8,North,9,0.4,4.28,0.08,0.24,2.043
9,North,6,0.48,5.2,0.68,0.08,1.47
10,North,8,0.24,4.48,0.28,0.2,1.95
1,North,8,0.44,4.32,0.48,0.12,1.9
2,North,8,0.32,5.04,0.28,0.16,1.89
3,North,7,0.28,5.36,0.36,0,1.568
4,North,7,0.48,5.12,0.56,0.08,1.6
5,North,7,0.32,4.8,0.64,0.04,1.6
6,North,7,0,5.6,0.4,0.12,1.75
7,North,7,0.28,5.2,0.12,0.04,1.83
8,North,9,0.4,5.08,0.6,0.12,1.92
9,North,6,0.32,5.48,0.52,0.4,1.656
1,North,5,0.44,4.92,0.84,0,1
2,North,8,0.4,4.88,0.52,0.04,1.79
3,North,7,0,5.6,0.4,0.12,1.74
4,North,8,0.28,4.96,0.32,0.16,1.98
5,North,8,0.32,5.44,0.44,0.12,1.84
6,North,7,0.32,5.32,0.4,0.04,1.794
7,North,7,0.4,5.04,0.56,0.04,1.7
8,North,8,0.21,5.2,0.31,0.052,1.9
9,North,9,0.23,4.6,0.32,0,2.034
10,North,7,0.52,5.2,0.72,0.12,1.55
11,North,7,0.2,5.7,0.32,0.08,1.84
12,North,8,0.28,5.4,0.48,0,1.94
10,North,6,0.44,5.2,0.52,0.08,1.563
11,North,8,0.32,5.2,0.56,0.08,1.44
1,South,9,0.56,2.84,0.32,0.44,1.946
2,South,7,0.56,3.12,0.4,0.44,1.7
3,South,7,0.44,3.36,0.4,0.28,1.8
4,South,7,0.4,2.92,0.16,0.44,1.7
5,South,7,0.52,3,0.32,0.4,2.89
6,South,8,0.44,3,0.2,0.48,1.95
7,South,7,0.48,3.32,0.4,0.36,1.777
8,South,10,0.44,3.4,0.36,0.4,2.08
9,South,7,0.584,3.58,0.417,0.167,1.64
10,South,6,0.56,3.1,0.37,0.44,1.7
11,South,8,0.44,3.6,0.24,0.44,1.88
12,South,7,0.52,2.96,0.32,0.48,1.76
1,South,6,0.68,2.72,0.4,0.04,1.58
2,South,7,0.4,3.16,0.24,0.32,1.87
3,South,7,0.714,2.762,0.38,0.38,1.61
4,South,8,0.44,3.36,0.4,0.28,1.91
5,South,8,0.48,3.12,0.28,0.4,1.81
6,South,6,0.52,3.32,0.4,0.16,1.66
7,South,8,0.56,3.72,0.48,0.16,1.77
8,South,7,0.52,3.3,0.39,0.39,1.77
9,South,9,0.419,2.83,0.208,0.125,2.08
10,South,8,0.44,2.24,0.04,0.6,1.73
11,South,7,0.6,2.84,0.44,0.36,1.79
1,South,8,0.24,3.04,0.08,0.12,1.75
2,South,8,0.44,3.36,0.36,0.28,1.832
3,South,10,0.48,3.52,0.38,0.38,1.91
4,South,8,0.6,3.12,0.36,0.4,1.87
5,South,9,0.36,2.88,0.24,0.44,2.078
6,South,7,0.6,2.12,0,0.2,1.594
7,South,7,0.5,3.63,0.38,0.33,1.9
8,South,8,0.56,3.2,0.36,0.44,1.82
9,South,5,0.7,3.1,0.46,0.5,1.46
10,South,8,0.52,2.08,0.08,0.68,1.73
11,South,6,0.64,2.29,0.24,0.18,1.45
12,South,6,0.56,3.6,0.52,0.36,1.524
1,South,7,0.48,2.8,0.28,0.48,1.83
2,South,9,0.6,2.48,0.24,0.52,1.83
3,South,8,0.52,2.92,0.28,0.32,1.807
4,South,7,0.48,3.56,0.44,0.16,1.82
5,South,6,0.92,3.08,0.44,0.48,1.6
6,South,9,0.23,2.88,0.38,0.038,2.04
7,South,7,0.6,3.2,0.44,0.32,1.73
8,South,9,0.44,3,0.16,0.4,1.998
9,South,9,0.52,2.04,0.08,0.56,1.89
10,South,6,0.6,2.6,0.16,0.37,1.62
1,South,9,0.44,2.92,0.2,0.4,1.94
2,South,8,0.56,2.68,0.28,0.32,1.81
3,South,8,0.52,3.32,0.36,0.32,1.972
4,South,8,0.48,3.52,0.4,0.4,1.86
5,South,8,0.56,2.84,0.28,0.4,1.9
6,South,6,0.68,2.48,0.32,0.36,1.62
7,South,12,0.6,2.92,0.24,0.4,2.12
8,South,8,0.36,3.48,0.4,0.32,1.92
9,South,7,0.41,3.11,0.41,0.44,1.852
1,South,9,0.84,2.68,0.96,0.36,1
2,South,7,0.58,3.25,0.33,0.45,1.705
3,South,6,0.68,2.48,0.32,0.36,1.62
4,South,8,0.48,3.96,0,0.16,1.92
5,South,8,0.48,2.44,0.32,0.48,1.83
6,South,10,0.44,2.68,0.4,0.52,2.064
7,South,9,0.5,2.96,0.32,0.36,2.03
8,South,8,0.308,3.31,0.39,0.308,1.6
9,South,8,0.56,2.13,0.1,0.43,1.677
10,South,10,0.52,2.84,0.2,0.4,2.26
11,South,9,0.6,5.12,0.28,0.48,1.93
12,South,8,0.52,3.6,0.4,0.16,1.83
10,South,9,0.013,3.16,0.01,0.014,2.103
11,South,7,0.542,2.92,0.292,0.458,1.79